9999
1165	AC	21
2695	Android	10
561	A股	48
1815	CBA	11
1525	CBD	8
578	CEO	29
1903	CJ	7
1217	CSOL	7
590	ChinaJoy	5
1844	DC	11
2546	DLC	5
437	DS	15
2926	DV	6
1472	EA	11
985	ETF	6
2641	FPS	7
2490	Facebook	13
2333	GB	8
391	GDP	5
382	Google	6
1444	H股	12
1175	II	9
2176	IMF	5
1998	IPO	7
2841	IT	7
478	IXUS	10
59	Kinect	6
2107	LG	11
1640	MP	9
834	MV	14
831	NBA	16
39	OL	77
70	Online	10
1290	PC	18
2331	PK	11
2222	PS	11
534	PSP	12
2633	PTA	6
712	QDII	18
701	QQ	23
202	RIM	5
807	RPG	6
2806	Rain	5
2453	ST	8
228	Sa	8
2842	TCL	6
2653	TD	7
1066	Twitter	7
1845	VS	11
1671	WCG	9
315	Wii	5
316	Xbox	5
822	iPad	15
1608	iPhone	23
1963	ol	8
1028	online	16
894	―	7
1880	一人	12
1406	一半	5
465	一周	16
2865	一场	5
1980	一城	8
1830	一季度	12
451	一家	17
2120	一对	8
1958	一年	11
1729	一批	7
1112	一日	5
518	一览	15
512	丁俊晖	7
2991	七夕	5
1005	七成	13
738	万人	16
1427	万亿	5
857	万元	41
2808	万吨	5
1495	万抵	6
97	万科	33
653	万美元	21
2417	万股	8
783	万起	13
181	丈夫	29
2424	三个	6
1402	三分	7
2031	三国	15
336	三大	27
1919	三季度	6
1192	三居	8
1116	三年	10
707	三成	7
1609	三星	26
1773	上午	5
43	上半年	21
1287	上周	9
1549	上学	6
102	上市	69
2374	上市公司	8
1528	上扬	12
733	上期	6
2256	上榜	5
44	上海	70
967	上涨	55
2580	上演	13
2515	上线	18
2509	上网	14
1157	上行	13
2230	上诉	5
1306	上调	14
2027	上阵	7
603	下午	7
724	下半年	23
2012	下周	11
2356	下挫	6
634	下滑	12
2519	下行	9
1131	下调	13
567	下跌	31
392	下降	18
1620	不到	6
2824	不宜	5
1849	不当	5
1683	不愿	5
77	丑闻	8
0	专业	57
2575	专升本	5
286	专家	66
2121	专户	5
2015	专科	7
1047	专访	15
1193	世家	9
1096	世界	87
1018	世界杯	25
1492	世纪	13
2983	世锦赛	6
899	业	10
384	业主	14
1476	业务	27
836	业绩	32
10	东	11
1887	东亚	11
1945	东京	7
1344	东北	5
2600	东城	5
914	东方	19
2404	东芝	10
1161	东部	10
917	两个	11
1702	两人	6
2059	两名	8
174	两大	14
505	两家	7
2651	两岸	5
813	两市	17
718	两年	20
2322	两月	5
2684	两点	5
2013	严查	5
2775	丧生	6
347	个股	7
1712	中介	6
1997	中信	6
1102	中关村	7
808	中国女排	5
2911	中国联通	6
2477	中国队	5
2475	中场	9
1777	中央	6
903	中学	11
2744	中学生	5
2182	中小学	6
809	中心	24
2240	中性	5
2325	中招	6
553	中方	13
1308	中旬	8
380	中期	10
2195	中海	11
2887	中秋	6
2402	中端	7
1007	中粮	11
793	中考	41
2130	中职	6
1727	中邮	5
1769	中锋	9
1130	中间价	5
1861	丰台	12
1517	丰田	7
719	临时	7
759	临近	6
1312	丹麦	5
2438	主	7
1939	主任	5
1359	主力	23
415	主动	9
2647	主场	11
1386	主导	5
1323	主帅	22
238	主席	18
2300	主持	6
2479	主持人	5
2751	主推	5
317	主机	5
2770	主权	5
2655	主流	10
1048	主演	7
2839	主角	5
1625	主题	15
752	举办	18
924	之战	11
606	之旅	6
2403	之选	5
1120	之遥	5
189	乌克兰	7
2754	乌龙	5
2572	乐居	10
2048	乐观	10
2167	乔丹	6
1739	乘客	9
979	九州	6
1339	九成	8
1560	也门	6
2755	习近平	9
89	买入	24
1143	买房	16
2747	乾坤	5
2807	争	6
1511	争夺	6
2903	争夺战	5
2122	争抢	8
1196	争议	20
407	事件	40
2818	事故	6
393	二季度	6
2205	二手房	9
654	二批	5
492	二期	13
842	二本	7
2323	二次	11
472	亏损	17
1121	云	9
1575	云南	10
2282	互动	7
1345	互联网	19
2318	五一	9
1254	五个	5
2198	五大	16
2860	五月	5
1428	井喷	6
1751	亚太	6
240	亚洲	18
2866	亚锦赛	5
262	交易	36
2757	交警	7
2452	交通	7
371	交银	7
936	亦庄	21
1089	产业	9
791	产品	28
1115	产能	8
1231	产量	6
670	享	26
1384	享受	7
1347	京	10
310	京东	7
2310	京城	7
2858	京西	5
1451	亮点	6
41	亮相	41
2801	人员	13
2995	人士	5
1956	人才	9
1185	人数	13
289	人民币	20
2687	人气	18
155	人物	6
998	人生	9
98	亿	92
175	亿元	37
1097	亿港元	12
236	亿美元	50
1375	仅售	26
360	今夏	7
984	今日	46
1501	今晚	6
2961	今起	5
199	介绍	9
1249	仓	5
249	仔	5
1721	仙剑	7
408	代	6
1767	代理	7
420	代表	13
543	代言	18
1060	令	12
1742	以色列	20
1875	仪式	5
6	价	13
